"ordinal","song_id","title","primary","credit","role","version","inventory_year","status","source_title","isrcs","appearances","earliest_verified_appearance","source_url","review_reasons"
"11","cf740739-9ae7-43fc-ac52-8b83a264cf0d","What's My Name?","Rihanna","Rihanna feat. Drake","Feature","Original","2010","approved","What’s My Name?","USUM71025031;USUM72300822","44","2010-01-01","https://musicbrainz.org/recording/2eab2264-5b01-4454-b66c-3eeb46d37e0c","additional_recording_identities_require_review"
"12","bf6feb14-d75c-44c2-b11b-68589ec98651","Fall for Your Type","Jamie Foxx","Jamie Foxx feat. Drake","Feature","Original","2010","approved","Fall for Your Type","USJAY1000195;USJAY1000196","6","2010-12-21","https://musicbrainz.org/recording/e125e9bb-aeda-448e-807f-fd206c48c56f","additional_recording_identities_require_review"
"13","40d6235f-ce06-4388-8615-226b0f089f6f","Moment 4 Life","Nicki Minaj","Nicki Minaj feat. Drake","Feature","Original","2010","approved","Moment 4 Life","USCM51000721;USCM51000722;USUM72200181;USUM72200342","15","2022-08-26","https://musicbrainz.org/recording/263f39c4-f34d-4521-bdc4-05eb30d2d022","additional_recording_identities_require_review;verified_appearance_year_differs_from_supplied_inventory_year"
"14","3f1d9505-08bd-4f91-860f-905901bc6b6b","In the Morning","J. Cole","J. Cole feat. Drake","Feature","Original","2011","approved","In the Morning","QMJMT2104015;USQX91100167;USQX91101156","12","2010-11-12","https://musicbrainz.org/recording/27cab0a4-ee48-44c8-b5c4-ad091bce6ffa","additional_recording_identities_require_review;verified_appearance_year_differs_from_supplied_inventory_year"
"15","c18618fc-11dc-42cd-992f-8843e8987d7f","Poppin' Bottles","T.I.","T.I. feat. Drake","Feature","Original","2011","approved","Poppin’ Bottles","USAT21002613","6","2010-12-02","https://musicbrainz.org/recording/fe334df0-f6e2-4cab-8fbb-827afa6a0530","additional_recording_identities_require_review;verified_appearance_year_differs_from_supplied_inventory_year"
"16","d87ac5b7-d27c-47c0-a0d0-6698c43b559d","I'm on One","DJ Khaled","DJ Khaled feat. Drake, Rick Ross & Lil Wayne","Feature","Original","2011","approved","I’m on One","USCM51100126","6","2011-01-01","https://musicbrainz.org/recording/83fdc5df-fd83-40e1-8d27-0cc23c39a25c","additional_recording_identities_require_review"
"17","10387e8e-2311-4b7e-b67d-5f60bb6cf8c6","She Will","Lil Wayne","Lil Wayne feat. Drake","Feature","Original","2011","needs_review","She Will","FR0Z50036523","1","2011-12-30","https://musicbrainz.org/recording/958cfb5e-0f39-45b0-87d8-990d8dc0528f","feature_list_conflicts_with_joint_primary_source_billing;additional_recording_identities_require_review"
"18","ecb02e34-9bca-4377-ae57-f61c8c30cc27","It's Good","Lil Wayne","Lil Wayne feat. Jadakiss & Drake","Feature","Original","2011","needs_review","It’s Good","USCM51100320;USCM51100321;USCM52100129;USUG12105025","13","2011-03-08","https://musicbrainz.org/recording/22b9f806-0866-4302-8e9e-77e6310991e0","feature_list_conflicts_with_joint_primary_source_billing"
"19","20c48ebf-7c40-4a2c-b373-3af34dd22ec4","Round of Applause","Waka Flocka Flame","Waka Flocka Flame feat. Drake","Feature","Original","2011","approved","Round of Applause","USWB11103148;USWB11103149","9","2011-10-14","https://musicbrainz.org/recording/029d1cf6-da74-48a3-bd11-a3e4f8657a9c","additional_recording_identities_require_review"
"20","c8b2ba04-b6ae-4795-a6a6-c39ddee11060","Mr. Wrong","Mary J. Blige","Mary J. Blige feat. Drake","Feature","Original","2011","approved","Mr. Wrong","USUM71116429","9","2011-01-01","https://musicbrainz.org/recording/098e0525-6d46-4b29-9fef-1f015eaff72f",""
"21","7d08eaba-8133-4dac-ba65-64036ccaceb2","Stay Schemin","Rick Ross","Rick Ross feat. Drake & French Montana","Feature","Original","2012","approved","Stay Schemin","","4","2012-01-06","https://musicbrainz.org/recording/5f3adaef-8def-4b8b-b21d-348a47463d7f",""
"22","091fd00f-b473-4cc6-bfda-b124940b70d6","No Lie","2 Chainz","2 Chainz feat. Drake","Feature","Original","2012","approved","No Lie","FR0Z50024417;USUM71204666","11","2012-01-01","https://musicbrainz.org/recording/411b6199-49a7-4a4f-8ef8-a0938af3e1c7","additional_recording_identities_require_review"
"23","112b24a6-d695-4986-af53-e6f87ba6a978","Amen","Meek Mill","Meek Mill feat. Drake","Feature","Original","2012","needs_review","Amen","FR0Z50037101","1","2012-12-28","https://musicbrainz.org/recording/03b33d21-aadb-487c-8fee-22d6d372ee5e","feature_list_conflicts_with_joint_primary_source_billing;additional_recording_identities_require_review"
"24","a55c980f-138f-41a0-aa5a-d4ecc2cf76a5","Enough Said","Aaliyah","Aaliyah feat. Drake","Feature","Original","2012","approved","Enough Said","","1","2012-08-05","https://musicbrainz.org/recording/77106502-60f7-41fd-a348-e1d90dadcbdf","additional_recording_identities_require_review"
"25","576c13c0-3725-4fa9-8f73-b553f5dbb03b","Diced Pineapples","Rick Ross","Rick Ross feat. Wale & Drake","Feature","Original","2012","needs_review","Diced Pineapples","FR0Z50037109","1","2012-12-28","https://musicbrainz.org/recording/0dcca9c5-31bf-45c0-aea3-2b406c96fc4a","feature_list_conflicts_with_joint_primary_source_billing;additional_recording_identities_require_review"
"26","00361a4b-5495-4c8e-be25-73e07cbb4047","Fuckin' Problems","A$AP Rocky","A$AP Rocky feat. Drake, 2 Chainz & Kendrick Lamar","Feature","Original","2012","approved","Fuckin’ Problems","FR0Z50024419;FR0Z50037102;USRC11201220;USRC11201347","29","2012-10-24","https://musicbrainz.org/recording/c62bf94c-b8ad-40b3-b357-265f91e6fbe5",""
"27","e0e97e6e-f96e-4236-bf2b-10e12b3a0159","Love Me","Lil Wayne","Lil Wayne feat. Drake & Future","Feature","Original","2012","approved","Love Me","USCM51300001","11","2013-01-18","https://musicbrainz.org/recording/37458f0b-7160-4914-9124-9f74370e3a1c","additional_recording_identities_require_review;verified_appearance_year_differs_from_supplied_inventory_year"
"28","50b26808-9f87-44a9-99fd-8ba0fcbd6b2d","Poetic Justice","Kendrick Lamar","Kendrick Lamar feat. Drake","Feature","Original","2012","needs_review","Poetic Justice","USUM71211004;USUM71211178;USUM72214271;USUM72214304;USUM72502829","36","2012-01-01","https://musicbrainz.org/recording/5c2f2e54-328f-4fe6-b3bd-d8a50a1c815e","feature_list_conflicts_with_joint_primary_source_billing;additional_recording_identities_require_review"
"29","948a6ded-f70c-4b77-baea-f35d1518bde7","No New Friends","DJ Khaled","DJ Khaled feat. Drake, Rick Ross & Lil Wayne","Feature","Original","2013","approved","No New Friends","","3","2013-01-01","https://musicbrainz.org/recording/c37068bb-0404-44ad-aa40-585c516addb2",""
"30","272a5cb8-fc07-4852-a5e0-8c4f1f2b6c4d","No Guns Allowed","Snoop Lion","Snoop Lion feat. Drake & Cori B.","Feature","Original","2013","approved","No Guns Allowed","","5","2013-01-01","https://musicbrainz.org/recording/c04ef239-f17a-455b-9bc6-a2a30b40c8b0",""
"31","26bb1d18-3684-44a9-938b-7dafafdf723e","Live For","The Weeknd","The Weeknd feat. Drake","Feature","Original","2013","approved","Live For","USUM71310344;USUM71310350","14","2013-01-01","https://musicbrainz.org/recording/2a44129f-3ea7-432f-ac5f-65476fd6da81",""
"32","0f0bb1b6-55c5-4958-a5bf-5e54c10317c4","Mine","Beyoncé","Beyoncé feat. Drake","Feature","Original","2013","approved","Mine","USSM11307806;USSM11307882","24","2013-12-13","https://musicbrainz.org/recording/09a438dd-fd68-4cf4-b4e6-9cf51fc23e8f",""
"33","2a3c1d4f-82e1-42f9-abba-bcc82fb17dc7","Who Do You Love?","YG","YG feat. Drake","Feature","Original","2014","approved","Who Do You Love","USUM71413946","1","2015-01-01","https://musicbrainz.org/recording/3864aa9f-1ad9-49c6-aa61-6a91eb89aa0b","supplied_title_differs_from_source_title;additional_recording_identities_require_review;verified_appearance_year_differs_from_supplied_inventory_year"
